Row  instruction         | regs     | src1  src2   res  quot  active  cond  skip  range  wrap
--------------------------------------------------------------------------------------------
  0  INIT                | -        |    0     0     0     0       1     0     0      0     0
  1  READ_PRIV r1 0      | r1=23    |    0     0    23     1       1     0     0     23     0
  2  READ_PRIV r2 1      | r2=47    |    0     0    47     1       1     0     0     47     0
  3  ADD       r1 r1 r2  | r1=70    |   23    47    70     1       1     0     0     70     0
  4  ADD       r2 r1 r2  | r2=117   |   70    47   117     1       1     0     0    117     0
  5  ADD       r1 r1 r2  | r1=187   |   70   117   187     1       1     0     0    187     0
  6  ADD       r2 r1 r2  | r2=304   |  187   117   304     1       1     0     0    304     0
  7  ADD       r1 r1 r2  | r1=491   |  187   304   491     1       1     0     0    491     0
  8  ADD       r2 r1 r2  | r2=795   |  491   304   795     1       1     0     0    795     0
  9  ADD       r1 r1 r2  | r1=1286  |  491   795  1286     1       1     0     0   1286     0
 10  SET       r15 1286  | r15=1286 |    0     0  1286     1       1     0     0   1286     0
 11  ASSERT_EQ r1 r15    | passed   | 1286  1286     1     1       1     0     0      1     0
