Row  instruction         | regs     | src1  src2   res  quot  active  cond  skip  range  wrap
--------------------------------------------------------------------------------------------
  0  INIT                | -        |    0     0     0     0       1     0     0      0     0
  1  READ_PRIV r1 0      | r1=3     |    0     0     3     1       1     0     0      3     0
  2  SET       r2 0      | -        |    0     0     0     1       1     0     0      0     0
  3  SET       r3 0      | -        |    0     0     0     1       1     0     0      0     0
  4  SET       r4 1      | r4=1     |    0     0     1     1       1     0     0      1     0
  5  ADD       r3 r3 r4  | r3=1     |    0     1     1     1       1     0     0      1     0
  6  MUL       r2 r2 r1  | -        |    0     3     0     1       1     0     0      0     0
  7  ADD       r2 r2 r3  | r2=1     |    0     1     1     1       1     0     0      1     0
  8  SET       r3 1      | -        |    0     0     1     1       1     0     0      1     0
  9  SET       r4 1      | -        |    0     0     1     1       1     0     0      1     0
 10  ADD       r3 r3 r4  | r3=2     |    1     1     2     1       1     0     0      2     0
 11  MUL       r2 r2 r1  | r2=3     |    1     3     3     1       1     0     0      3     0
 12  ADD       r2 r2 r3  | r2=5     |    3     2     5     1       1     0     0      5     0
 13  SET       r3 2      | -        |    0     0     2     1       1     0     0      2     0
 14  SET       r4 1      | -        |    0     0     1     1       1     0     0      1     0
 15  ADD       r3 r3 r4  | r3=3     |    2     1     3     1       1     0     0      3     0
 16  MUL       r2 r2 r1  | r2=15    |    5     3    15     1       1     0     0     15     0
 17  ADD       r2 r2 r3  | r2=18    |   15     3    18     1       1     0     0     18     0
 18  SET       r4 3      | r4=3     |    0     0     3     1       1     0     0      3     0
 19  SET       r3 1      | r3=1     |    0     0     1     1       1     0     0      1     0
 20  ADD       r3 r4 r3  | r3=4     |    3     1     4     1       1     0     0      4     0
 21  MUL       r2 r2 r1  | r2=54    |   18     3    54     1       1     0     0     54     0
 22  ADD       r2 r2 r3  | r2=58    |   54     4    58     1       1     0     0     58     0
 23  SET       r3 4      | -        |    0     0     4     1       1     0     0      4     0
 24  SET       r4 1      | r4=1     |    0     0     1     1       1     0     0      1     0
 25  ADD       r3 r3 r4  | r3=5     |    4     1     5     1       1     0     0      5     0
 26  MUL       r2 r2 r1  | r2=174   |   58     3   174     1       1     0     0    174     0
 27  ADD       r2 r2 r3  | r2=179   |  174     5   179     1       1     0     0    179     0
 28  SET       r3 5      | -        |    0     0     5     1       1     0     0      5     0
 29  SET       r4 1      | -        |    0     0     1     1       1     0     0      1     0
 30  ADD       r3 r3 r4  | r3=6     |    5     1     6     1       1     0     0      6     0
 31  MUL       r2 r2 r1  | r2=537   |  179     3   537     1       1     0     0    537     0
 32  ADD       r2 r2 r3  | r2=543   |  537     6   543     1       1     0     0    543     0
 33  SET       r3 6      | -        |    0     0     6     1       1     0     0      6     0
 34  SET       r4 1      | -        |    0     0     1     1       1     0     0      1     0
 35  ADD       r3 r3 r4  | r3=7     |    6     1     7     1       1     0     0      7     0
 36  MUL       r2 r2 r1  | r2=1629  |  543     3  1629     1       1     0     0   1629     0
 37  ADD       r2 r2 r3  | r2=1636  | 1629     7  1636     1       1     0     0   1636     0
 38  SET       r3 7      | -        |    0     0     7     1       1     0     0      7     0
 39  SET       r4 1      | -        |    0     0     1     1       1     0     0      1     0
 40  ADD       r3 r3 r4  | r3=8     |    7     1     8     1       1     0     0      8     0
 41  MUL       r1 r2 r1  | r1=4908  | 1636     3  4908     1       1     0     0   4908     0
 42  ADD       r2 r1 r3  | r2=4916  | 4908     8  4916     1       1     0     0   4916     0
 43  SET       r15 4916  | r15=4916 |    0     0  4916     1       1     0     0   4916     0
 44  ASSERT_EQ r2 r15    | passed   | 4916  4916     1     1       1     0     0      1     0
