Row  instruction         | regs    | src1  src2   res  quot  active  cond  skip  range  wrap
-------------------------------------------------------------------------------------------
  0  INIT                | -       |    0     0     0     0       1     0     0      0     0
  1  READ_PRIV r3 0      | r3=521  |    0     0   521     1       1     0     0    521     0
  2  READ_PUB  r1 0      | r1=10   |    0     0    10     1       1     0     0     10     0
  3  READ_PUB  r2 1      | r2=1000 |    0     0  1000     1       1     0     0   1000     0
  4  LT        r1 r1 r3  | r1=1    |   10   521     1     1       1     0     0    510     0
  5  LT        r2 r3 r2  | r2=1    |  521  1000     1     1       1     0     0    478     0
  6  ADD       r1 r1 r2  | r1=2    |    1     1     2     1       1     0     0      2     0
  7  SET       r15 2     | r15=2   |    0     0     2     1       1     0     0      2     0
  8  ASSERT_EQ r1 r15    | passed  |    2     2     1     1       1     0     0      1     0
