Row  instruction         | regs     |  src1  src2    res  quot  active  cond  skip  range  wrap
----------------------------------------------------------------------------------------------
  0  INIT                | -        |     0     0      0     0       1     0     0      0     0
  1  READ_PUB  r2 0      | r2=59    |     0     0     59     1       1     0     0     59     0
  2  READ_PUB  r1 1      | r1=187   |     0     0    187     1       1     0     0    187     0
  3  SET       r5 1      | r5=1     |     0     0      1     1       1     0     0      1     0
  4  READ_PRIV r4 0      | -        |     0     0      0     1       1     0     0      0     0
  5  MUL       r3 r5 r5  | r3=1     |     1     1      1     1       1     0     0      1     0
  6  MOD       r3 r3 r1  | -        |     1   187      1     1       1     0     0    185     0
  7  LT        r4 r0 r4  | -        |     0     0      0     1       1     0     0      0     0
  8  JZ        r4 3      | -        |     0     0      1     1       1     0     0      1     0
  9  MUL       r4 r3 r2  | -        |     1    59      0     1       0     0     3      0     0
 10  MOD       r5 r4 r1  | -        |     0   187      0     1       0     0     2      0     0
 11  JZ        r0 1      | -        |     0     0      0     1       0     0     1      0     0
 12  ADD       r5 r3 r0  | -        |     1     0      1     1       1     0     0      1     0
 13  READ_PRIV r4 1      | -        |     0     0      0     1       1     0     0      0     0
 14  MUL       r3 r5 r5  | -        |     1     1      1     1       1     0     0      1     0
 15  MOD       r3 r3 r1  | -        |     1   187      1     1       1     0     0    185     0
 16  LT        r4 r0 r4  | -        |     0     0      0     1       1     0     0      0     0
 17  JZ        r4 3      | -        |     0     0      1     1       1     0     0      1     0
 18  MUL       r4 r3 r2  | -        |     1    59      0     1       0     0     3      0     0
 19  MOD       r5 r4 r1  | -        |     0   187      0     1       0     0     2      0     0
 20  JZ        r0 1      | -        |     0     0      0     1       0     0     1      0     0
 21  ADD       r5 r3 r0  | -        |     1     0      1     1       1     0     0      1     0
 22  READ_PRIV r4 2      | r4=1     |     0     0      1     1       1     0     0      1     0
 23  MUL       r3 r5 r5  | -        |     1     1      1     1       1     0     0      1     0
 24  MOD       r3 r3 r1  | -        |     1   187      1     1       1     0     0    185     0
 25  LT        r4 r0 r4  | -        |     0     1      1     1       1     0     0      0     0
 26  JZ        r4 3      | -        |     1     0      1     1       1     1     0      1     0
 27  MUL       r4 r3 r2  | r4=59    |     1    59     59     1       1     0     0     59     0
 28  MOD       r5 r4 r1  | r5=59    |    59   187     59     1       1     0     0    127     0
 29  JZ        r0 1      | -        |     0     0      1     1       1     0     0      1     0
 30  ADD       r5 r3 r0  | -        |     1     0      0     1       0     0     1      0     0
 31  READ_PRIV r4 3      | r4=0     |     0     0      0     1       1     0     0      0     0
 32  MUL       r3 r5 r5  | r3=3481  |    59    59   3481     1       1     0     0   3481     0
 33  MOD       r3 r3 r1  | r3=115   |  3481   187    115    19       1     0     0     71     0
 34  LT        r4 r0 r4  | -        |     0     0      0     1       1     0     0      0     0
 35  JZ        r4 3      | -        |     0     0      1     1       1     0     0      1     0
 36  MUL       r4 r3 r2  | -        |   115    59      0     1       0     0     3      0     0
 37  MOD       r5 r4 r1  | -        |     0   187      0     1       0     0     2      0     0
 38  JZ        r0 1      | -        |     0     0      0     1       0     0     1      0     0
 39  ADD       r5 r3 r0  | r5=115   |   115     0    115     1       1     0     0    115     0
 40  READ_PRIV r4 4      | -        |     0     0      0     1       1     0     0      0     0
 41  MUL       r3 r5 r5  | r3=13225 |   115   115  13225     1       1     0     0  13225     0
 42  MOD       r3 r3 r1  | r3=135   | 13225   187    135    71       1     0     0     51     0
 43  LT        r4 r0 r4  | -        |     0     0      0     1       1     0     0      0     0
 44  JZ        r4 3      | -        |     0     0      1     1       1     0     0      1     0
 45  MUL       r4 r3 r2  | -        |   135    59      0     1       0     0     3      0     0
 46  MOD       r5 r4 r1  | -        |     0   187      0     1       0     0     2      0     0
 47  JZ        r0 1      | -        |     0     0      0     1       0     0     1      0     0
 48  ADD       r5 r3 r0  | r5=135   |   135     0    135     1       1     0     0    135     0
 49  READ_PRIV r4 5      | -        |     0     0      0     1       1     0     0      0     0
 50  MUL       r3 r5 r5  | r3=18225 |   135   135  18225     1       1     0     0  18225     0
 51  MOD       r3 r3 r1  | r3=86    | 18225   187     86    98       1     0     0    100     0
 52  LT        r4 r0 r4  | -        |     0     0      0     1       1     0     0      0     0
 53  JZ        r4 3      | -        |     0     0      1     1       1     0     0      1     0
 54  MUL       r4 r3 r2  | -        |    86    59      0     1       0     0     3      0     0
 55  MOD       r5 r4 r1  | -        |     0   187      0     1       0     0     2      0     0
 56  JZ        r0 1      | -        |     0     0      0     1       0     0     1      0     0
 57  ADD       r5 r3 r0  | r5=86    |    86     0     86     1       1     0     0     86     0
 58  READ_PRIV r4 6      | -        |     0     0      0     1       1     0     0      0     0
 59  MUL       r3 r5 r5  | r3=7396  |    86    86   7396     1       1     0     0   7396     0
 60  MOD       r3 r3 r1  | r3=103   |  7396   187    103    40       1     0     0     83     0
 61  LT        r4 r0 r4  | -        |     0     0      0     1       1     0     0      0     0
 62  JZ        r4 3      | -        |     0     0      1     1       1     0     0      1     0
 63  MUL       r4 r3 r2  | -        |   103    59      0     1       0     0     3      0     0
 64  MOD       r5 r4 r1  | -        |     0   187      0     1       0     0     2      0     0
 65  JZ        r0 1      | -        |     0     0      0     1       0     0     1      0     0
 66  ADD       r5 r3 r0  | r5=103   |   103     0    103     1       1     0     0    103     0
