Row  instruction         | regs     |  src1  src2    res  quot  active  cond  skip  range  wrap
----------------------------------------------------------------------------------------------
  0  INIT                | -        |     0     0      0     0       1     0     0      0     0
  1  READ_PRIV r2 0      | r2=42    |     0     0     42     1       1     0     0     42     0
  2  READ_PUB  r1 0      | r1=187   |     0     0    187     1       1     0     0    187     0
  3  MUL       r3 r2 r2  | r3=1764  |    42    42   1764     1       1     0     0   1764     0
  4  MOD       r3 r3 r1  | r3=81    |  1764   187     81    10       1     0     0    105     0
  5  MUL       r3 r3 r3  | r3=6561  |    81    81   6561     1       1     0     0   6561     0
  6  MOD       r3 r3 r1  | r3=16    |  6561   187     16    36       1     0     0    170     0
  7  MUL       r3 r3 r3  | r3=256   |    16    16    256     1       1     0     0    256     0
  8  MOD       r3 r3 r1  | r3=69    |   256   187     69     2       1     0     0    117     0
  9  MUL       r3 r3 r3  | r3=4761  |    69    69   4761     1       1     0     0   4761     0
 10  MOD       r3 r3 r1  | r3=86    |  4761   187     86    26       1     0     0    100     0
 11  MUL       r3 r3 r3  | r3=7396  |    86    86   7396     1       1     0     0   7396     0
 12  MOD       r3 r3 r1  | r3=103   |  7396   187    103    40       1     0     0     83     0
 13  MUL       r3 r3 r3  | r3=10609 |   103   103  10609     1       1     0     0  10609     0
 14  MOD       r3 r3 r1  | r3=137   | 10609   187    137    57       1     0     0     49     0
 15  MUL       r3 r3 r3  | r3=18769 |   137   137  18769     1       1     0     0  18769     0
 16  MOD       r3 r3 r1  | r3=69    | 18769   187     69   101       1     0     0    117     0
 17  MUL       r3 r3 r3  | r3=4761  |    69    69   4761     1       1     0     0   4761     0
 18  MOD       r3 r3 r1  | r3=86    |  4761   187     86    26       1     0     0    100     0
 19  MUL       r3 r3 r3  | r3=7396  |    86    86   7396     1       1     0     0   7396     0
 20  MOD       r3 r3 r1  | r3=103   |  7396   187    103    40       1     0     0     83     0
 21  MUL       r3 r3 r3  | r3=10609 |   103   103  10609     1       1     0     0  10609     0
 22  MOD       r3 r3 r1  | r3=137   | 10609   187    137    57       1     0     0     49     0
 23  MUL       r3 r3 r3  | r3=18769 |   137   137  18769     1       1     0     0  18769     0
 24  MOD       r3 r3 r1  | r3=69    | 18769   187     69   101       1     0     0    117     0
 25  MUL       r3 r3 r3  | r3=4761  |    69    69   4761     1       1     0     0   4761     0
 26  MOD       r3 r3 r1  | r3=86    |  4761   187     86    26       1     0     0    100     0
 27  MUL       r3 r3 r3  | r3=7396  |    86    86   7396     1       1     0     0   7396     0
 28  MOD       r3 r3 r1  | r3=103   |  7396   187    103    40       1     0     0     83     0
 29  MUL       r3 r3 r3  | r3=10609 |   103   103  10609     1       1     0     0  10609     0
 30  MOD       r3 r3 r1  | r3=137   | 10609   187    137    57       1     0     0     49     0
 31  MUL       r3 r3 r3  | r3=18769 |   137   137  18769     1       1     0     0  18769     0
 32  MOD       r3 r3 r1  | r3=69    | 18769   187     69   101       1     0     0    117     0
 33  MUL       r3 r3 r3  | r3=4761  |    69    69   4761     1       1     0     0   4761     0
 34  MOD       r3 r3 r1  | r3=86    |  4761   187     86    26       1     0     0    100     0
 35  MUL       r2 r3 r2  | r2=3612  |    86    42   3612     1       1     0     0   3612     0
 36  MOD       r1 r2 r1  | r1=59    |  3612   187     59    20       1     0     0    127     0
 37  SET       r15 59    | r15=59   |     0     0     59     1       1     0     0     59     0
 38  ASSERT_EQ r1 r15    | passed   |    59    59      1     1       1     0     0      1     0
