  PC  Instruction             r1    r2    r3   r15
--------------------------------------------------
   0  READ_PRIV r1 0          23     0     0     0
   1  READ_PRIV r2 1          23    47     0     0
   2  ADD       r3 r1 r2      23    47    70     0
   3  ADD       r1 r2 r0      47    47    70     0
   4  ADD       r2 r3 r0      47    70    70     0
   5  ADD       r3 r1 r2      47    70   117     0
   6  ADD       r1 r2 r0      70    70   117     0
   7  ADD       r2 r3 r0      70   117   117     0
   8  ADD       r3 r1 r2      70   117   187     0
   9  ADD       r1 r2 r0     117   117   187     0
  10  ADD       r2 r3 r0     117   187   187     0
  11  ADD       r3 r1 r2     117   187   304     0
  12  ADD       r1 r2 r0     187   187   304     0
  13  ADD       r2 r3 r0     187   304   304     0
  14  ADD       r3 r1 r2     187   304   491     0
  15  ADD       r1 r2 r0     304   304   491     0
  16  ADD       r2 r3 r0     304   491   491     0
  17  ADD       r3 r1 r2     304   491   795     0
  18  ADD       r1 r2 r0     491   491   795     0
  19  ADD       r2 r3 r0     491   795   795     0
  20  ADD       r3 r1 r2     491   795  1286     0
  21  ADD       r2 r3 r0     491  1286  1286     0
  22  ADD       r1 r2 r0    1286  1286  1286     0
  23  SET       r15 1286    1286  1286  1286  1286
  24  ASSERT_EQ r1 r15      1286  1286  1286  1286
