  PC  Instruction             r1    r2  r3  r4   r15
----------------------------------------------------
   0  READ_PRIV r1 0           3     0   0   0     0
   1  SET       r2 0           3     0   0   0     0
   2  SET       r3 0           3     0   0   0     0
   3  SET       r4 1           3     0   0   1     0
   4  ADD       r3 r3 r4       3     0   1   1     0
   5  MUL       r2 r2 r1       3     0   1   1     0
   6  ADD       r2 r2 r3       3     1   1   1     0
   7  SET       r3 1           3     1   1   1     0
   8  SET       r4 1           3     1   1   1     0
   9  ADD       r3 r3 r4       3     1   2   1     0
  10  MUL       r2 r2 r1       3     3   2   1     0
  11  ADD       r2 r2 r3       3     5   2   1     0
  12  SET       r3 2           3     5   2   1     0
  13  SET       r4 1           3     5   2   1     0
  14  ADD       r3 r3 r4       3     5   3   1     0
  15  MUL       r2 r2 r1       3    15   3   1     0
  16  ADD       r2 r2 r3       3    18   3   1     0
  17  SET       r4 3           3    18   3   3     0
  18  SET       r3 1           3    18   1   3     0
  19  ADD       r3 r4 r3       3    18   4   3     0
  20  MUL       r2 r2 r1       3    54   4   3     0
  21  ADD       r2 r2 r3       3    58   4   3     0
  22  SET       r3 4           3    58   4   3     0
  23  SET       r4 1           3    58   4   1     0
  24  ADD       r3 r3 r4       3    58   5   1     0
  25  MUL       r2 r2 r1       3   174   5   1     0
  26  ADD       r2 r2 r3       3   179   5   1     0
  27  SET       r3 5           3   179   5   1     0
  28  SET       r4 1           3   179   5   1     0
  29  ADD       r3 r3 r4       3   179   6   1     0
  30  MUL       r2 r2 r1       3   537   6   1     0
  31  ADD       r2 r2 r3       3   543   6   1     0
  32  SET       r3 6           3   543   6   1     0
  33  SET       r4 1           3   543   6   1     0
  34  ADD       r3 r3 r4       3   543   7   1     0
  35  MUL       r2 r2 r1       3  1629   7   1     0
  36  ADD       r2 r2 r3       3  1636   7   1     0
  37  SET       r3 7           3  1636   7   1     0
  38  SET       r4 1           3  1636   7   1     0
  39  ADD       r3 r3 r4       3  1636   8   1     0
  40  MUL       r1 r2 r1    4908  1636   8   1     0
  41  ADD       r2 r1 r3    4908  4916   8   1     0
  42  SET       r15 4916    4908  4916   8   1  4916
  43  ASSERT_EQ r2 r15      4908  4916   8   1  4916
