  PC  Instruction            r1    r2     r3  r15
-------------------------------------------------
   0  READ_PRIV r2 0          0    42      0    0
   1  READ_PUB  r1 0        187    42      0    0
   2  MUL       r3 r2 r2    187    42   1764    0
   3  MOD       r3 r3 r1    187    42     81    0
   4  MUL       r3 r3 r3    187    42   6561    0
   5  MOD       r3 r3 r1    187    42     16    0
   6  MUL       r3 r3 r3    187    42    256    0
   7  MOD       r3 r3 r1    187    42     69    0
   8  MUL       r3 r3 r3    187    42   4761    0
   9  MOD       r3 r3 r1    187    42     86    0
  10  MUL       r3 r3 r3    187    42   7396    0
  11  MOD       r3 r3 r1    187    42    103    0
  12  MUL       r3 r3 r3    187    42  10609    0
  13  MOD       r3 r3 r1    187    42    137    0
  14  MUL       r3 r3 r3    187    42  18769    0
  15  MOD       r3 r3 r1    187    42     69    0
  16  MUL       r3 r3 r3    187    42   4761    0
  17  MOD       r3 r3 r1    187    42     86    0
  18  MUL       r3 r3 r3    187    42   7396    0
  19  MOD       r3 r3 r1    187    42    103    0
  20  MUL       r3 r3 r3    187    42  10609    0
  21  MOD       r3 r3 r1    187    42    137    0
  22  MUL       r3 r3 r3    187    42  18769    0
  23  MOD       r3 r3 r1    187    42     69    0
  24  MUL       r3 r3 r3    187    42   4761    0
  25  MOD       r3 r3 r1    187    42     86    0
  26  MUL       r3 r3 r3    187    42   7396    0
  27  MOD       r3 r3 r1    187    42    103    0
  28  MUL       r3 r3 r3    187    42  10609    0
  29  MOD       r3 r3 r1    187    42    137    0
  30  MUL       r3 r3 r3    187    42  18769    0
  31  MOD       r3 r3 r1    187    42     69    0
  32  MUL       r3 r3 r3    187    42   4761    0
  33  MOD       r3 r3 r1    187    42     86    0
  34  MUL       r2 r3 r2    187  3612     86    0
  35  MOD       r1 r2 r1     59  3612     86    0
  36  SET       r15 59       59  3612     86   59
  37  ASSERT_EQ r1 r15       59  3612     86   59
