Row  instruction          | regs      |  src1   src2    res  quot  active  cond  skip  range  wrap
-------------------------------------------------------------------------------------------------
  0  INIT                 | -         |     0      0      0     0       1     0     0      0     0
  1  READ_PRIV r1 0       | r1=23     |     0      0     23     1       1     0     0     23     0
  2  READ_PRIV r2 1       | r2=47     |     0      0     47     1       1     0     0     47     0
  3  ADD       r1 r1 r2   | r1=70     |    23     47     70     1       1     0     0     70     0
  4  ADD       r2 r1 r2   | r2=117    |    70     47    117     1       1     0     0    117     0
  5  ADD       r1 r1 r2   | r1=187    |    70    117    187     1       1     0     0    187     0
  6  ADD       r2 r1 r2   | r2=304    |   187    117    304     1       1     0     0    304     0
  7  ADD       r1 r1 r2   | r1=491    |   187    304    491     1       1     0     0    491     0
  8  ADD       r2 r1 r2   | r2=795    |   491    304    795     1       1     0     0    795     0
  9  ADD       r1 r1 r2   | r1=1286   |   491    795   1286     1       1     0     0   1286     0
 10  ADD       r2 r1 r2   | r2=2081   |  1286    795   2081     1       1     0     0   2081     0
 11  ADD       r1 r1 r2   | r1=3367   |  1286   2081   3367     1       1     0     0   3367     0
 12  ADD       r2 r1 r2   | r2=5448   |  3367   2081   5448     1       1     0     0   5448     0
 13  ADD       r1 r1 r2   | r1=8815   |  3367   5448   8815     1       1     0     0   8815     0
 14  ADD       r2 r1 r2   | r2=14263  |  8815   5448  14263     1       1     0     0  14263     0
 15  ADD       r1 r1 r2   | r1=23078  |  8815  14263  23078     1       1     0     0  23078     0
 16  ADD       r2 r1 r2   | r2=37341  | 23078  14263  37341     1       1     0     0  37341     0
 17  ADD       r1 r1 r2   | r1=60419  | 23078  37341  60419     1       1     0     0  60419     0
 18  SET       r15 60419  | r15=60419 |     0      0  60419     1       1     0     0  60419     0
 19  ASSERT_EQ r1 r15     | passed    | 60419  60419      1     1       1     0     0      1     0
