Row  instruction              | regs                    |                 src1        src2                   res        quot  active  cond  skip                 range  wrap
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0  INIT                     | -                       |                    0           0                     0           0       1     0     0                     0     0
  1  READ_PRIV r2 0           | r2=1337                 |                    0           0                  1337           1       1     0     0                  1337     0
  2  READ_PUB  r1 0           | r1=4200970013           |                    0           0            4200970013           1       1     0     0            4200970013     0
  3  MUL       r3 r2 r2       | r3=1787569              |                 1337        1337               1787569           1       1     0     0               1787569     0
  4  MOD       r3 r3 r1       | -                       |              1787569  4200970013               1787569           1       1     0     0            4199182443     0
  5  MUL       r3 r3 r3       | r3=3195402929761        |              1787569     1787569         3195402929761           1       1     0     0         3195402929761     0
  6  MOD       r3 r3 r1       | r3=2665719881           |        3195402929761  4200970013            2665719881         761       1     0     0            1535250131     0
  7  MUL       r3 r3 r3       | r3=7106062483958654161  |           2665719881  2665719881   7106062483958654161           1       1     0     0   7106062483958654161     0
  8  MOD       r3 r3 r1       | r3=666907538            |  7106062483958654161  4200970013             666907538  1691528972       1     0     0            3534062474     0
  9  MUL       r3 r3 r3       | r3=444765664241221444   |            666907538   666907538    444765664241221444           1       1     0     0    444765664241221444     0
 10  MOD       r3 r3 r1       | r3=4094903702           |   444765664241221444  4200970013            4094903702   105872135       1     0     0             106066310     0
 11  MUL       r3 r3 r3       | r3=16768236328653304804 |           4094903702  4094903702  16768236328653304804           1       1     0     0  16768236328653304804     0
 12  MOD       r3 r3 r1       | r3=3266345150           | 16768236328653304804  4200970013            3266345150  3991515359       1     0     0             934624862     0
 13  MUL       r3 r3 r3       | r3=10669010638928522500 |           3266345150  3266345150  10669010638928522500           1       1     0     0  10669010638928522500     0
 14  MOD       r3 r3 r1       | r3=1254449447           | 10669010638928522500  4200970013            1254449447  2539654082       1     0     0            2946520565     0
 15  MUL       r3 r3 r3       | r3=1573643415078605809  |           1254449447  1254449447   1573643415078605809           1       1     0     0   1573643415078605809     0
 16  MOD       r3 r3 r1       | r3=3634599452           |  1573643415078605809  4200970013            3634599452   374590490       1     0     0             566370560     0
 17  MUL       r3 r3 r3       | r3=13210313176478700304 |           3634599452  3634599452  13210313176478700304           1       1     0     0  13210313176478700304     0
 18  MOD       r3 r3 r1       | r3=2590107091           | 13210313176478700304  4200970013            2590107091  3144586402       1     0     0            1610862921     0
 19  MUL       r3 r3 r3       | r3=6708654742848482281  |           2590107091  2590107091   6708654742848482281           1       1     0     0   6708654742848482281     0
 20  MOD       r3 r3 r1       | r3=2458233217           |  6708654742848482281  4200970013            2458233217  1596929929       1     0     0            1742736795     0
 21  MUL       r3 r3 r3       | r3=6042910549162169089  |           2458233217  2458233217   6042910549162169089           1       1     0     0   6042910549162169089     0
 22  MOD       r3 r3 r1       | r3=2936421011           |  6042910549162169089  4200970013            2936421011  1438456007       1     0     0            1264549001     0
 23  MUL       r3 r3 r3       | r3=8622568353842262121  |           2936421011  2936421011   8622568353842262121           1       1     0     0   8622568353842262121     0
 24  MOD       r3 r3 r1       | r3=3488242609           |  8622568353842262121  4200970013            3488242609  2052518425       1     0     0             712727403     0
 25  MUL       r3 r3 r3       | r3=12167836499243126881 |           3488242609  3488242609  12167836499243126881           1       1     0     0  12167836499243126881     0
 26  MOD       r3 r3 r1       | r3=3658872141           | 12167836499243126881  4200970013            3658872141  2896434981       1     0     0             542097871     0
 27  MUL       r3 r3 r3       | r3=13387345344185923881 |           3658872141  3658872141  13387345344185923881           1       1     0     0  13387345344185923881     0
 28  MOD       r3 r3 r1       | r3=389020476            | 13387345344185923881  4200970013             389020476  3186727186       1     0     0            3811949536     0
 29  MUL       r3 r3 r3       | r3=151336930747266576   |            389020476   389020476    151336930747266576           1       1     0     0    151336930747266576     0
 30  MOD       r3 r3 r1       | r3=2325410910           |   151336930747266576  4200970013            2325410910    36024283       1     0     0            1875559102     0
 31  MUL       r3 r3 r3       | r3=5407535900347028100  |           2325410910  2325410910   5407535900347028100           1       1     0     0   5407535900347028100     0
 32  MOD       r3 r3 r1       | r3=892051733            |  5407535900347028100  4200970013             892051733  1287211260       1     0     0            3308918279     0
 33  MUL       r3 r3 r3       | r3=795756294348303289   |            892051733   892051733    795756294348303289           1       1     0     0    795756294348303289     0
 34  MOD       r3 r3 r1       | r3=1310896821           |   795756294348303289  4200970013            1310896821   189422037       1     0     0            2890073191     0
 35  MUL       r2 r3 r2       | r2=1752669049677        |           1310896821        1337         1752669049677           1       1     0     0         1752669049677     0
 36  MOD       r1 r2 r1       | r1=864554256            |        1752669049677  4200970013             864554256         418       1     0     0            3336415756     0
 37  SET       r15 864554256  | r15=864554256           |                    0           0             864554256           1       1     0     0             864554256     0
 38  ASSERT_EQ r1 r15         | passed                  |            864554256   864554256                     1           1       1     0     0                     1     0
